id,word,plural,cmuarpaInputIds,cmuarpaPluralInputIds,cmuarpaVisemes,cmuarpaPluralVisemes
00e10aa2-b3f7-4126-9c3f-8b377b3ad52a,really,really,"[77, 56, 64, 59]","[77, 56, 64, 59]","['Q', 'E', 'S', 'E']","['Q', 'E', 'S', 'E']"
00e54b68-9aed-4123-a31b-45da36a7dcb8,resigned,resigned,"[77, 55, 93, 33, 66, 37]","[77, 55, 93, 33, 66, 37]","['Q', 'E', 'S', 'A', 'S', 'S']","['Q', 'E', 'S', 'A', 'S', 'S']"
00edc076-e238-40f3-adc9-e033094217e0,allowed,allowed,"[20, 64, 29, 37]","[20, 64, 29, 37]","['A', 'S', 'O', 'S']","['A', 'S', 'O', 'S']"
00f34eff-abb7-4293-9cb6-95b30c00a36e,washing,washings,"[91, 13, 79, 55, 67]","[91, 13, 79, 55, 67, 93]","['Q', 'O', 'S', 'E', 'S']","['Q', 'O', 'S', 'E', 'S', 'S']"
00f86b58-0787-4097-8db7-ad9583c43d25,suite,suites,"[78, 91, 60, 80]","[78, 91, 60, 80, 78]","['S', 'Q', 'E', 'S']","['S', 'Q', 'E', 'S', 'S']"
00f8df95-7a0b-4d85-8208-ccb30d81ca95,ingenuity,ingenuities,"[55, 66, 62, 20, 66, 88, 20, 80, 59]","[55, 66, 62, 20, 66, 88, 80, 59, 93]","['E', 'S', 'S', 'A', 'S', 'Q', 'A', 'S', 'E']","['E', 'S', 'S', 'A', 'S', 'Q', 'S', 'E', 'S']"
00fc7dea-9e98-4e74-89b4-1a4c7c2ffdf4,lawmaker,lawmakers,"[64, 25, 65, 50, 63, 44]","[64, 25, 65, 50, 63, 44, 93]","['S', 'O', 'F', 'A', 'S', 'E']","['S', 'O', 'F', 'A', 'S', 'E', 'S']"
00fdea28-71c4-49d9-b962-5fa24e79ea80,hasten,hastens,"[53, 49, 78, 20, 66]","[53, 49, 78, 20, 66, 93]","['A', 'A', 'S', 'A', 'S']","['A', 'A', 'S', 'A', 'S', 'S']"
010384e1-b721-4968-a34f-7015abdac8ec,asking,asking,"[17, 78, 63, 55, 67]","[17, 78, 63, 55, 67]","['A', 'S', 'S', 'E', 'S']","['A', 'S', 'S', 'E', 'S']"
0104cd77-0811-4e62-92df-c9de7dfad951,slay,slays,"[78, 64, 49]","[78, 64, 49, 93]","['S', 'S', 'A']","['S', 'S', 'A', 'S']"
01086782-8678-4906-bc87-ea8cdec18a83,barking,barking,"[35, 13, 77, 63, 55, 67]","[35, 13, 77, 63, 55, 67]","['S', 'O', 'Q', 'S', 'E', 'S']","['S', 'O', 'Q', 'S', 'E', 'S']"
010b48f1-d1e2-4cc8-80ab-93183fc68f17,degradation,degradations,"[37, 42, 52, 77, 20, 37, 49, 79, 20, 66]","[37, 42, 52, 77, 20, 37, 49, 79, 20, 66, 93]","['S', 'E', 'S', 'Q', 'A', 'S', 'A', 'S', 'A', 'S']","['S', 'E', 'S', 'Q', 'A', 'S', 'A', 'S', 'A', 'S', 'S']"
010c6d3a-4d52-4309-a8de-60f07ab5359e,web-based,web-baseds,"[91, 41, 35, 78, 18, 37]","[91, 41, 35, 78, 18, 37, 93]","['Q', 'E', 'S', 'S', 'A', 'S']","['Q', 'E', 'S', 'S', 'A', 'S', 'S']"
010cc2ea-8082-4129-94f3-2db4b9966fa9,gangster,gangsters,"[52, 17, 67, 78, 80, 44]","[52, 17, 67, 78, 80, 44, 93]","['S', 'A', 'S', 'S', 'S', 'E']","['S', 'A', 'S', 'S', 'S', 'E', 'S']"
010e56f3-a56a-416d-9f18-4685b9bb2889,conveniently,convenientlies,"[63, 20, 66, 90, 60, 66, 92, 20, 66, 80, 64, 59]","[63, 20, 66, 90, 41, 66, 36, 20, 66, 20, 64, 93]","['S', 'A', 'S', 'F', 'E', 'S', 'E', 'A', 'S', 'S', 'S', 'E']","['S', 'A', 'S', 'F', 'E', 'S', 'S', 'A', 'S', 'A', 'S', 'S']"
0116db55-df08-4419-b898-a0d1377d3793,rested,rested,"[77, 41, 78, 80, 20, 37]","[77, 41, 78, 80, 20, 37]","['Q', 'E', 'S', 'S', 'A', 'S']","['Q', 'E', 'S', 'S', 'A', 'S']"
01182807-b10e-4266-a8df-0c18d5a1772e,selling,sellings,"[78, 41, 64, 55, 67]","[78, 41, 64, 55, 67, 93]","['S', 'E', 'S', 'E', 'S']","['S', 'E', 'S', 'E', 'S', 'S']"
0123bb2e-6ff9-4aa3-972a-8aed49c3053d,arab,arabs,"[17, 77, 20, 35]","[17, 77, 20, 35, 93]","['A', 'Q', 'A', 'S']","['A', 'Q', 'A', 'S', 'S']"
0126682a-5a45-412b-a443-284698dacf72,bankrupt,bankrupts,"[35, 17, 67, 63, 77, 20, 76, 80]","[35, 17, 67, 63, 77, 20, 76, 78]","['S', 'A', 'S', 'S', 'Q', 'A', 'F', 'S']","['S', 'A', 'S', 'S', 'Q', 'A', 'F', 'S']"
012e4d96-1a0d-474a-ad3b-a6cb069cda00,freak,freaks,"[51, 77, 60, 63]","[51, 77, 60, 63, 78]","['F', 'Q', 'E', 'S']","['F', 'Q', 'E', 'S', 'S']"
