id,word,plural,syllable,syllablePlural,ukipa,usipa,ukipaPlural,usipaPlural,inUse,pluralInUse
01ca7ecd-d2b1-4db2-b76d-59168faa9e33,preserve,preserves,pre.serve,pre.serves,pɹɪ.zɝːv,pɹɪ.zɝːv,,,FALSE,FALSE
01d3f469-f4a7-4867-b1f6-2338948a122f,grandfather,grandfathers,grand.fa.ther,grand.fa.thers,ɡɹæn.fɑː.ðɚ,ɡɹæn.fɑː.ðɚ,ɡɹæn.fɑː.ðɚs,ɡɹæn.fɑː.ðɚs,TRUE,FALSE
01d6f71f-4dfc-48c5-a896-495b2b89a936,smoulder,smoulders,smoul.der,smoul.ders,sməʊʊl.dəɹ,sməʊʊl.dəɹ,sməʊʊl.dəɹ,sməʊʊl.dəɹ,FALSE,FALSE
01dbe0c9-cfb7-458c-9d90-8eb9dbba5c4b,year,years,year,years,jɪɹ,jɪɹ,jɪəz,jɪɹz,TRUE,TRUE
01e18130-e0fe-49fd-9191-8e840528707c,buying,buyings,buy.ing,buy.ings,baɪɪŋ,baɪɪŋ,,,FALSE,FALSE
01e2357d-cd8c-4769-a0ae-87885cdd8f78,preparation,preparations,prep.a.ra.tion,prep.a.ra.tions,pɹɛp.ə.ɹɛɪ.ʃən,pɹɛp.ə.ɹɛɪ.ʃən,,,FALSE,FALSE
01e8e3fa-07c6-45c8-b8f8-e39ba5b0d547,bombardment,bombardments,bom.bard.ment,bombardments,bɑːm.bɑːɹd.mənt,bɑːm.bɑːɹd.mənt,bɒmˈbɑːdmənts,bɑmˈbɑɹdmənts,FALSE,FALSE
01ea04a0-5bcd-4efe-9f5a-5387d1a002b3,looped,looped,looped,looped,luːpt,lupt,luːpt,lupt,TRUE,TRUE
01f4a112-44c2-43b1-bf6e-5c9d18f9aa85,rut,ruts,rut,ruts,ɹʌt,ɹʌt,ɹʌts,ɹʌts,FALSE,FALSE
01f5d322-0ab6-4064-a3c2-0a1a7c433468,unhappiness,unhappinesses,un.hap.pi.ness,,ʌn.hæp.i.nəs,ʌn.hæp.i.nəs,,,FALSE,FALSE
01f66357-46f2-43bd-986f-37b100d62d91,aversion,aversions,a.ver.sion,a.ver.sions,,,,,FALSE,FALSE
01f81e74-8a27-4b6f-a026-379d5bbdd2c0,dj,djs,dj,djs,ˈdiːˌdʒɛɪ,dj,ˈdiːˌdʒɛɪz,djs,FALSE,FALSE
01fad6c8-5c68-4711-ad79-a38b6ad1c264,permission,permissions,per.mis.sion,per.mis.sions,pɚ.mɪʃ.ən,pɚ.mɪʃ.ən,,,FALSE,FALSE
01fd1c6a-4216-4778-904e-37c9db89e93e,proclaim,proclaims,pro.claim,pro.claims,pɹəʊʊ.klɛɪm,pɹəʊʊ.klɛɪm,,,FALSE,FALSE
02011b1c-2ee8-43c4-8e5a-72fe86119ac5,manslaughter,manslaughters,man.slaugh.ter,man.slaugh.ters,,,,,FALSE,FALSE
020736ea-f3ee-4d3b-aff0-50548100b3e4,picket,pickets,pick.et,pick.ets,pɪk.ɪt,pɪk.ɪt,,,FALSE,FALSE
02117a9f-08d5-4e5e-9f5d-9c21db3c2c6d,tacky,tackies,tack.y,tack.ies,tæk.i,tæk.i,,,FALSE,FALSE
021227e0-c648-4152-a8f3-519a8a1de5e4,workmate,workmates,work.mate,work.mates,wɜːk.mɛɪt,wɜːk.mɛɪt,wɜːk.mɛɪtz,wɜːk.mɛɪtz,FALSE,TRUE
021a456e-9f21-4bd9-a87a-4a96c8831caa,stayed,stayed,stayed,stayed,stɛɪd,stɛɪd,stɛɪd,stɛɪd,TRUE,TRUE
021b530a-5349-4a51-9d16-5cb8eaae701f,composure,composures,com.po.sure,com.po.sures,kəm.pəʊʊ.ʒɚ,kəm.pəʊʊ.ʒɚ,,,FALSE,FALSE
